Column2,Column3
1,0.096823011
2,0.096345443
3,0.095921275
4,0.095424313
5,0.094890873
6,0.094355959
7,0.093821482
8,0.093336298
9,0.092762093
10,0.092211682
11,0.091657531
12,0.091098903
13,0.090520603
14,0.089975994
15,0.089425035
16,0.088864334
17,0.088304511
18,0.087744795
19,0.087184564
20,0.086623534
21,0.086127304
22,0.085642022
23,0.085180674
24,0.084634831
25,0.084109271
26,0.083580693
27,0.083087261
28,0.082574814
29,0.082034868
30,0.081506732
31,0.080979495
32,0.080455567
33,0.079888645
34,0.079367857
35,0.078839981
36,0.078336556
37,0.077773007
38,0.07723521
39,0.076687177
40,0.076184894
41,0.075649904
42,0.075147902
43,0.074668469
44,0.074187676
45,0.073678279
46,0.073152224
47,0.07264643
48,0.072160724
49,0.071693933
50,0.071194292
51,0.070738929
52,0.070272367
53,0.069794224
54,0.069341177
55,0.06888595
56,0.068420314
57,0.067952195
58,0.0674964
59,0.067082156
60,0.066613493
61,0.06622383
62,0.065771799
63,0.065314968
64,0.064870041
65,0.064468152
66,0.064068993
67,0.063661661
68,0.063237884
69,0.062826267
70,0.062404629
71,0.061962977
72,0.061526698
73,0.061117154
74,0.060713079
75,0.060322528
76,0.05993906
77,0.059573282
78,0.059175629
79,0.058759507
80,0.058353392
81,0.057984055
82,0.057553798
83,0.057201702
84,0.056810371
85,0.056494272
86,0.056154217
87,0.055772746
88,0.055393727
89,0.055015867
90,0.05464586
91,0.054297807
92,0.05391089
93,0.053576529
94,0.0532224
95,0.052885794
96,0.052608318
97,0.052289346
98,0.051925688
99,0.051587412
100,0.051254912
101,0.050886516
102,0.050558477
103,0.050244484
104,0.049926863
105,0.049581305
106,0.049269397
107,0.048956516
108,0.048656921
109,0.048340844
110,0.048048417
111,0.047744719
112,0.047442398
113,0.047159557
114,0.04691093
115,0.046634735
116,0.046332876
117,0.046048767
118,0.045782273
119,0.045466902
120,0.045178335
121,0.044926134
122,0.044652636
123,0.044366428
124,0.044075347
125,0.043828668
126,0.043613301
127,0.043329318
128,0.043058399
129,0.042805323
130,0.042565996
131,0.042314135
132,0.042059017
133,0.041811395
134,0.041539884
135,0.041268232
136,0.041042141
137,0.040809842
138,0.040585498
139,0.040342493
140,0.040105304
141,0.039890591
142,0.03964552
143,0.039397775
144,0.039153284
145,0.038883043
146,0.038698284
147,0.038458236
148,0.038242081
149,0.038037099
150,0.037805903
151,0.037589504
152,0.037395731
153,0.037165091
154,0.036974385
155,0.036743744
156,0.036536353
157,0.036312565
158,0.036135144
159,0.035924921
160,0.03571356
161,0.035485546
162,0.03527529
163,0.035081619
164,0.034875858
165,0.034693299
166,0.034497227
167,0.034316777
168,0.034124025
169,0.03394216
170,0.033736923
171,0.033554627
172,0.033363446
173,0.033153632
174,0.033012982
175,0.032870124
176,0.032692462
177,0.032508776
178,0.032321104
179,0.032153913
180,0.03198796
181,0.031827757
182,0.031673814
183,0.031502962
184,0.031368702
185,0.03119865
186,0.03102663
187,0.030866036
188,0.030723368
189,0.030544416
190,0.03038415
191,0.030214295
192,0.030046205
193,0.029896877
194,0.029755679
195,0.029606138
196,0.029484512
197,0.029348241
198,0.02917124
199,0.029001727
200,0.028870694
201,0.028757584
202,0.028639912
203,0.0284985
204,0.028375917
205,0.028254754
206,0.028125284
207,0.027991808
208,0.027859334
209,0.027741133
210,0.027589938
211,0.02744479
212,0.027306984
213,0.027160417
214,0.027002186
215,0.026824861
216,0.026688222
217,0.026573759
218,0.026434772
219,0.026281591
220,0.026139335
221,0.025991752
222,0.025869704
223,0.025728542
224,0.025600322
225,0.025469845
226,0.025373019
227,0.025274006
228,0.025171417
229,0.025063391
230,0.024940181
231,0.024819819
232,0.024703108
233,0.024595209
234,0.024488793
235,0.024371922
236,0.024277406
237,0.024188129
238,0.024088217
239,0.023965605
240,0.023863741
241,0.023760282
242,0.023658738
243,0.023558089
244,0.023462239
245,0.023371365
246,0.023317166
247,0.023201715
248,0.023094388
249,0.022990099
250,0.022888087
251,0.022787549
252,0.022678029
253,0.022616354
254,0.022519867
255,0.022430474
256,0.022344183
257,0.02224109
258,0.022145941
259,0.022051483
260,0.021942643
261,0.02187626
262,0.021826387
263,0.021754288
264,0.021677257
265,0.021602612
266,0.021528741
267,0.021449639
268,0.021349167
269,0.02124526
270,0.021159953
271,0.021110898
272,0.021033164
273,0.020929148
274,0.020856123
275,0.020756148
276,0.020665472
277,0.020565471
278,0.020482414
279,0.020449081
280,0.020369439
281,0.020297897
282,0.020239663
283,0.020180311
284,0.020132664
285,0.020073734
286,0.019997165
287,0.019923419
288,0.019855065
289,0.019816872
290,0.019781637
291,0.019718846
292,0.019638251
293,0.019587379
294,0.019541339
295,0.019501672
296,0.019431598
297,0.019375903
298,0.019305414
299,0.019250607
300,0.019173876
301,0.019109026
302,0.019064096
303,0.018977168
304,0.01892186
305,0.01885181
306,0.018792412
307,0.018722651
308,0.01866893
309,0.01860959
310,0.018566301
311,0.018544039
312,0.018510985
313,0.018448169
314,0.01841831
315,0.018347858
316,0.018283051
317,0.018203712
318,0.018151238
319,0.018086233
320,0.018053176
321,0.017996805
322,0.017969257
323,0.017905356
324,0.017839478
325,0.017776066
326,0.017713146
327,0.017641023
328,0.017599814
329,0.01756184
330,0.01750848
331,0.017443367
332,0.017404005
333,0.01736514
334,0.017287831
335,0.017273324
336,0.017237073
337,0.017175719
338,0.01715364
339,0.017093474
340,0.017018062
341,0.01696447
342,0.016904549
343,0.016860813
344,0.01680417
345,0.016754313
346,0.016721981
347,0.01666728
348,0.016589355
349,0.016540341
350,0.016500955
351,0.01646663
352,0.016441848
353,0.016400868
354,0.016363445
355,0.016333747
356,0.016307005
357,0.016294507
358,0.016235694
359,0.01618391
360,0.016145147
361,0.016089168
362,0.01603528
363,0.01597719
364,0.015926063
365,0.015889671
366,0.01587541
367,0.015842463
368,0.015808926
369,0.015774787
370,0.015741619
371,0.01571408
372,0.015680077
373,0.015665707
374,0.015645247
375,0.015614229
376,0.015584011
377,0.015533024
378,0.015481592
379,0.0154448
380,0.01539156
381,0.015341244
382,0.01530524
383,0.015276834
384,0.015236054
385,0.015198649
386,0.015158288
387,0.015122793
388,0.015068337
389,0.01507713
390,0.015039358
391,0.014991335
392,0.014977622
393,0.014943739
394,0.014918504
395,0.014912504
396,0.014895211
397,0.01487192
398,0.014840418
399,0.01480339
400,0.014793964
401,0.014773631
402,0.014744824
403,0.014736037
404,0.014715665
405,0.014689452
406,0.014653619
407,0.014608281
408,0.014545642
409,0.01451797
410,0.014535658
411,0.014493761
412,0.014467632
413,0.014454259
414,0.01444908
415,0.014444822
416,0.01445421
417,0.014398904
418,0.014376564
419,0.01436447
420,0.014351895
421,0.014335567
422,0.014308452
423,0.014275925
424,0.014255215
425,0.014224803
426,0.014181596
427,0.014143136
428,0.014108161
429,0.014077808
430,0.014051809
431,0.01403144
432,0.01400584
433,0.013956809
434,0.013931825
435,0.013935114
436,0.013952051
437,0.013912115
438,0.01387321
439,0.013846201
440,0.013833273
441,0.013833774
442,0.01382001
443,0.013784145
444,0.013759482
445,0.01371941
446,0.013679564
447,0.013657663
448,0.013637158
449,0.013603092
450,0.013592379
451,0.013565154
452,0.013548943
453,0.013544271
454,0.013510259
455,0.013480838
456,0.013450357
457,0.013422017
458,0.013396139
459,0.01337442
460,0.013336253
461,0.013311709
462,0.013285667
463,0.01328753
464,0.013272705
465,0.013249625
466,0.013236369
467,0.01321868
468,0.013183265
469,0.013171111
470,0.01314925
471,0.013139262
472,0.013122607
473,0.013113683
474,0.013070121
475,0.013041601
476,0.013025525
477,0.013020771
478,0.012997771
479,0.01295402
480,0.012937018
481,0.012935232
482,0.012917688
483,0.012917712
484,0.012885884
485,0.012854968
486,0.012857085
487,0.012856732
488,0.012833164
489,0.012833636
490,0.012808175
491,0.012789797
492,0.012747954
493,0.012726114
494,0.01270478
495,0.012688814
496,0.012666227
497,0.012643289
498,0.012643753
499,0.012627348
500,0.012622524
501,0.012615747
502,0.012574772
503,0.012539631
504,0.012516874
505,0.01251655
506,0.012502535
507,0.01249535
508,0.012478744
509,0.012447272
510,0.012439836
511,0.012435556
512,0.012419172
513,0.012377113
514,0.012379781
515,0.012367719
516,0.012337493
517,0.012319707
518,0.012281689
519,0.012251192
520,0.012227704
521,0.012202874
522,0.012185807
523,0.012183799
524,0.012172014
525,0.012166784
526,0.012141162
527,0.01209685
528,0.012079676
529,0.01207959
530,0.01208396
531,0.01206143
532,0.012052963
533,0.01204505
534,0.012038862
535,0.012049153
536,0.012036523
537,0.012028284
538,0.012059992
539,0.012032034
540,0.012037158
541,0.012035205
542,0.012020938
543,0.01203158
544,0.012042663
545,0.012020219
546,0.012020636
547,0.012049736
548,0.012055673
549,0.012050858
550,0.012019418
551,0.012019781
552,0.012036975
553,0.01202443
554,0.012034161
555,0.012020258
556,0.011992074
557,0.011986756
558,0.01199711
559,0.012019665
560,0.011995169
561,0.012018233
562,0.012013769
563,0.011987018
564,0.011997221
565,0.011979147
566,0.011973125
567,0.011979284
568,0.011964637
569,0.011934604
570,0.011908659
571,0.011922975
572,0.011913478
573,0.011882234
574,0.011851022
575,0.011843126
576,0.01182712
577,0.011822335
578,0.01180115
579,0.011814863
580,0.011804634
581,0.011828666
582,0.011816247
583,0.011789577
584,0.011787647
585,0.011767199
586,0.011783259
587,0.011768723
588,0.011765745
589,0.01175527
590,0.011734651
591,0.011742532
592,0.011741021
593,0.011747677
594,0.011761408
595,0.011751176
596,0.011750902
597,0.011738221
598,0.011714972
599,0.011705328
600,0.011701295
601,0.011661535
602,0.011641535
603,0.011641535
604,0.011623246
605,0.011617226
606,0.011616647
607,0.011592427
608,0.011562436
609,0.011548239
610,0.011529623
611,0.011534793
612,0.011520818
613,0.011497771
614,0.011510141
615,0.011497683
616,0.011478651
617,0.011462342
618,0.011458524
619,0.01145675
620,0.011453441
621,0.01143048
622,0.01140123
623,0.011372744
624,0.011364124
625,0.011342351
626,0.011328042
627,0.011316571
628,0.011361024
629,0.011350766
630,0.011331326
631,0.011329269
632,0.01134586
633,0.011335599
634,0.01132206
635,0.011324728
636,0.01131091
637,0.01130498
638,0.011291712
639,0.011302412
640,0.0113084
641,0.011318561
642,0.011313726
643,0.011287069
644,0.011285136
645,0.011295951
646,0.011297056
647,0.011286848
648,0.011281201
649,0.011277065
650,0.01126053
651,0.011278235
652,0.011261839
653,0.011243689
654,0.011220685
655,0.011230004
656,0.011216895
657,0.011260009
658,0.011267933
659,0.011274772
660,0.011260763
661,0.011230746
662,0.011208152
663,0.011177865
664,0.011166027
665,0.011172822
666,0.011161806
667,0.011155736
668,0.011136238
669,0.01113596
670,0.011127854
671,0.011117851
672,0.011121087
673,0.011106546
674,0.01110071
675,0.011097878
676,0.011080257
677,0.011081165
678,0.011072173
679,0.011072151
680,0.011050332
681,0.011041388
682,0.01102954
683,0.01100917
684,0.01100368
685,0.01099349
686,0.010984745
687,0.010962193
688,0.010945673
689,0.010938801
690,0.010935861
691,0.010930043
692,0.010935732
693,0.010922035
694,0.010915181
695,0.010894706
696,0.010895734
697,0.010895454
698,0.010863626
699,0.010857123
700,0.010855565
701,0.010848207
702,0.010823373
703,0.010815273
704,0.010809055
705,0.010818814
706,0.010791992
707,0.010783101
708,0.010763491
709,0.010759097
710,0.010757863
711,0.010786542
712,0.010799133
713,0.010777761
714,0.010757515
715,0.010742484
716,0.010719972
717,0.010702546
718,0.010686639
719,0.010679842
720,0.010703983
721,0.010720662
722,0.010714139
723,0.010703535
724,0.010693121
725,0.010705509
726,0.010687504
727,0.010669243
728,0.010657326
729,0.010648994
730,0.010664444
731,0.010646255
732,0.010644996
733,0.010611826
734,0.010603236
735,0.010595338
736,0.010570897
737,0.010564143
738,0.010558866
739,0.01054741
740,0.010530898
741,0.010526958
742,0.010505156
743,0.010501485
744,0.010511822
745,0.01050256
746,0.010502022
747,0.010483501
748,0.010467706
749,0.010464747
750,0.010446212
751,0.010447454
752,0.010445314
753,0.010450262
754,0.010450282
755,0.010444902
756,0.010444924
757,0.010428038
758,0.010415579
759,0.010408565
760,0.010398692
761,0.010397718
762,0.010393383
763,0.010385879
764,0.010373763
765,0.0104019
766,0.010392594
767,0.010394437
768,0.010369318
769,0.010358014
770,0.010341127
771,0.010312301
772,0.010288497
773,0.010262452
774,0.010274212
775,0.01029482
776,0.010290943
777,0.010278836
778,0.010281051
779,0.010261751
780,0.010245545
781,0.010250557
782,0.010226361
783,0.010235346
784,0.010234512
785,0.010222313
786,0.010201404
787,0.010191291
788,0.010189597
789,0.010182612
790,0.01019237
791,0.010178756
792,0.010157428
793,0.010156675
794,0.010160944
795,0.010154435
796,0.010182399
797,0.010170555
798,0.010189353
799,0.010189364
800,0.010201842
801,0.010196823
802,0.010189615
803,0.010177962
804,0.010162354
805,0.010136598
806,0.010151175
807,0.010126706
808,0.010118905
809,0.010106265
810,0.010089714
811,0.010071433
812,0.010062496
813,0.010037329
814,0.010023383
815,0.010024379
816,0.010036192
817,0.010044207
818,0.010037144
819,0.010048996
820,0.010058435
821,0.010057486
822,0.010060758
823,0.010079534
824,0.010062957
825,0.010046377
826,0.010048653
827,0.010068717
828,0.010081783
829,0.010078548
830,0.010069291
831,0.010072954
832,0.010081232
833,0.010107274
834,0.01009507
835,0.010070069
836,0.010052881
837,0.010060595
838,0.010050434
839,0.010029941
840,0.010013451
841,0.010004552
842,0.009979308
843,0.009968397
844,0.009956391
845,0.009944446
846,0.009924468
847,0.009905355
848,0.009885087
849,0.009879761
850,0.009882597
851,0.009861549
852,0.009862967
853,0.009883771
854,0.009872887
855,0.009860568
856,0.009841207
857,0.009842191
858,0.009876906
859,0.009862895
860,0.009871164
861,0.009882478
862,0.009904213
863,0.009906618
864,0.009911464
865,0.009898023
866,0.009888481
867,0.009888981
868,0.009890382
869,0.009873861
870,0.00985991
871,0.009840988
872,0.009837269
873,0.009817952
874,0.009802225
875,0.009776986
876,0.009775786
877,0.00976482
878,0.009788097
879,0.009792794
880,0.009789035
881,0.009778841
882,0.009771886
883,0.009758585
884,0.009747608
885,0.009766433
886,0.009786984
887,0.009793762
888,0.009782664
889,0.009777662
890,0.009761909
891,0.009751336
892,0.00979922
893,0.009795151
894,0.009801083
895,0.009800856
896,0.009788957
897,0.00976951
898,0.009759943
899,0.009757835
900,0.0097545
901,0.009752379
902,0.009746686
903,0.009741704
904,0.009751799
905,0.009756245
906,0.009780431
907,0.009758474
908,0.009753732
909,0.009746176
910,0.009730947
911,0.009739272
912,0.009720653
913,0.009719913
914,0.009723144
915,0.009756478
916,0.009747698
917,0.009741957
918,0.00978032
919,0.009760335
920,0.009761968
921,0.009742452
922,0.009730854
923,0.009737279
924,0.009728104
925,0.009710313
926,0.009695363
927,0.009679282
928,0.009679275
929,0.00966695
930,0.009685491
931,0.009664246
932,0.009650901
933,0.009639174
934,0.009632452
935,0.00963533
936,0.009681497
937,0.009695714
938,0.009760565
939,0.009745535
940,0.009750514
941,0.009751093
942,0.009736688
943,0.009743554
944,0.009727007
945,0.009702749
946,0.009712294
947,0.009696358
948,0.009693025
949,0.009674665
950,0.009669803
951,0.009651627
952,0.009642415
953,0.009662831
954,0.009691196
955,0.009690205
956,0.009676715
957,0.009669255
958,0.009654384
959,0.009658406
960,0.009661128
961,0.009669762
962,0.009677427
963,0.00968773
964,0.009681489
965,0.009671189
966,0.009688255
967,0.009677141
968,0.009677327
969,0.009678103
970,0.009668131
971,0.009682335
972,0.009691395
973,0.009678502
974,0.009664612
975,0.009659708
976,0.009652167
977,0.009639304
978,0.009642177
979,0.009622979
980,0.009594749
981,0.009582547
982,0.009589675
983,0.009580154
984,0.009563414
985,0.009552041
986,0.009551176
987,0.009540794
988,0.009536383
989,0.009519734
990,0.009495227
991,0.00947604
992,0.009451391
993,0.009445469
994,0.009454719
995,0.009474237
996,0.00946671
997,0.009458233
998,0.009459437
999,0.009443999
1000,0.009442996
1001,0.009433419
1002,0.009419234
1003,0.00941874
1004,0.009421915
1005,0.00941503
1006,0.009401157
1007,0.009395978
1008,0.009411294
1009,0.009397257
1010,0.009385322
1011,0.009371267
1012,0.009375081
1013,0.009380701
1014,0.009375488
1015,0.009360742
1016,0.009362056
1017,0.009359949
1018,0.009348184
1019,0.009348213
1020,0.009330672
1021,0.009304133
1022,0.009303697
1023,0.00929615
1024,0.009286345
1025,0.009271708
1026,0.009265229
1027,0.009255536
1028,0.009253459
1029,0.009260458
1030,0.009268813
1031,0.009269385
1032,0.009277197
1033,0.009267557
1034,0.009275575
1035,0.009293572
1036,0.009286781
1037,0.009269147
1038,0.009258267
1039,0.009237827
1040,0.009238256
1041,0.009221043
1042,0.009228484
1043,0.009212969
1044,0.009197596
1045,0.009207295
1046,0.00919585
1047,0.009200114
1048,0.009191778
1049,0.009167095
1050,0.009146631
1051,0.009155763
1052,0.009140037
1053,0.009133465
1054,0.009101136
1055,0.00907712
1056,0.009066669
1057,0.009084236
1058,0.009101071
1059,0.009097333
1060,0.009088297
1061,0.009087456
1062,0.009056253
1063,0.009043948
1064,0.009024769
1065,0.009044549
1066,0.009050505
1067,0.009060206
1068,0.00904348
1069,0.009041957
1070,0.009033364
1071,0.009010562
1072,0.009021121
1073,0.009020644
1074,0.009015409
1075,0.009004115
1076,0.009013474
1077,0.00901815
1078,0.009004073
1079,0.008997818
1080,0.00897842
1081,0.008979682
1082,0.008962949
1083,0.008985458
1084,0.009008268
1085,0.00899262
1086,0.008996588
1087,0.008987856
1088,0.00898371
1089,0.008958056
1090,0.008972105
1091,0.008982772
1092,0.008973964
1093,0.008980347
1094,0.008968619
1095,0.008958569
1096,0.008962895
1097,0.00895063
1098,0.00894541
1099,0.008945153
1100,0.00892626
1101,0.008934221
1102,0.008926451
1103,0.008913471
1104,0.008905649
1105,0.008912891
1106,0.008904252
1107,0.008893002
1108,0.008879922
1109,0.008870539
1110,0.008864248
1111,0.008884958
1112,0.008896536
1113,0.008889005
1114,0.008864395
1115,0.008867575
1116,0.008867026
1117,0.008871443
1118,0.008861534
1119,0.008859189
1120,0.008848058
1121,0.008848867
1122,0.0088433
1123,0.008831677
1124,0.008839947
1125,0.008846628
1126,0.00885793
1127,0.008836667
1128,0.008859557
1129,0.008852632
1130,0.0089044
1131,0.008901085
1132,0.00893981
1133,0.008931124
1134,0.008927012
1135,0.008923367
1136,0.008921699
1137,0.0089136
1138,0.008924933
1139,0.008937972
1140,0.008934691
1141,0.00891606
1142,0.008904828
1143,0.008889803
1144,0.008892368
1145,0.008908559
1146,0.008908599
1147,0.008901551
1148,0.008877341
1149,0.008863983
1150,0.008867436
1151,0.008840286
1152,0.008830507
1153,0.008833391
1154,0.008825336
1155,0.008820902
1156,0.008819899
1157,0.008802428
1158,0.008799498
1159,0.0087868
1160,0.008764872
1161,0.008758058
1162,0.008749863
1163,0.008739381
1164,0.008753262
1165,0.008750849
1166,0.008748732
1167,0.008735065
1168,0.00871309
1169,0.008696002
1170,0.00868554
1171,0.008693774
1172,0.008714056
1173,0.008689576
1174,0.008696785
1175,0.008691799
1176,0.008673064
1177,0.008673249
1178,0.008671381
1179,0.008674798
1180,0.008664495
1181,0.008649772
1182,0.008658232
1183,0.00864715
1184,0.008658619
1185,0.008654041
1186,0.008669702
1187,0.008652469
1188,0.008658105
1189,0.008664016
1190,0.008650747
1191,0.008657271
1192,0.008651649
1193,0.008643182
1194,0.008663409
1195,0.008658741
1196,0.00864926
1197,0.008641186
1198,0.008633429
1199,0.008620328
1200,0.008615251
1201,0.008595247
1202,0.008590336
1203,0.008610549
1204,0.008624872
1205,0.008634261
1206,0.008650892
1207,0.00864105
1208,0.008629822
1209,0.008613781
1210,0.008611337
1211,0.008605724
1212,0.008619035
1213,0.008638189
1214,0.00865246
1215,0.008658074
1216,0.008647654
1217,0.008629223
1218,0.00861414
1219,0.008593423
1220,0.008590756
1221,0.00859618
1222,0.008583402
1223,0.008592578
1224,0.008605321
1225,0.008594972
1226,0.008591427
1227,0.008590501
1228,0.00858287
1229,0.008613542
1230,0.008592811
1231,0.008589624
1232,0.008581336
1233,0.008562225
1234,0.008567795
1235,0.008558943
1236,0.008548389
1237,0.008543114
1238,0.008615475
1239,0.008627376
1240,0.008637995
1241,0.008634669
1242,0.008627797
1243,0.008609266
1244,0.008617755
1245,0.00859526
1246,0.008581469
1247,0.00858115
1248,0.008604705
1249,0.008612812
1250,0.00858056
1251,0.008554345
1252,0.008545029
1253,0.008561002
1254,0.008544459
1255,0.008551484
1256,0.008547369
1257,0.008558248
1258,0.008568728
1259,0.00855455
1260,0.008536359
1261,0.008525794
1262,0.008516132
1263,0.008501702
1264,0.008474182
1265,0.008465393
1266,0.008450779
1267,0.008444061
1268,0.008453128
1269,0.008453478
1270,0.008469252
1271,0.008451759
1272,0.008442951
1273,0.008439034
1274,0.008432675
1275,0.008439759
1276,0.008431393
1277,0.008413359
1278,0.008393589
1279,0.008391447
1280,0.008390929
1281,0.00839473
